Xn,F(Xn),F'(Xn),Xn+1,Error
(-5.438412799586827+0j),(-28.227738673387982+0j),(2044.6246169019394+0j),(-5.424606970174405+0j),(0.01380582941242281+0j)
(-5.424606970174405+0j),(-27.64717776476342+0j),(2033.3603771588816+0j),(-5.411010178343832+0j),(0.013596791830572386+0j)
(-5.411010178343832+0j),(-27.079980429862943+0j),(2022.2968717473793+0j),(-5.39761947354268+0j),(0.013390704801151898+0j)
(-5.39761947354268+0j),(-26.525800990607433+0j),(2011.4303281678085+0j),(-5.384431941954266+0j),(0.013187531588414458+0j)
(-5.384431941954266+0j),(-25.98430363679061+0j),(2000.7570500554555+0j),(-5.3714447061296715+0j),(0.012987235824594379+0j)
(-5.3714447061296715+0j),(-25.455162123566776+0j),(1990.2734155193873+0j),(-5.35865492462273+0j),(0.012789781506941544+0j)
(-5.35865492462273+0j),(-24.93805947867062+0j),(1979.9758755200035+0j),(-5.34605979162793+0j),(0.012595132994800196+0j)
(-5.34605979162793+0j),(-24.43268771904567+0j),(1969.8609522843424+0j),(-5.3336565366211675+0j),(0.012403255006762315+0j)
(-5.3336565366211675+0j),(-23.938747576568158+0j),(1959.9252377582234+0j),(-5.321442424003306+0j),(0.012214112617861872+0j)
(-5.321442424003306+0j),(-23.455948232564538+0j),(1950.1653920943447+0j),(-5.309414752746472+0j),(0.012027671256833905+0j)
(-5.309414752746472+0j),(-22.98400706083055+0j),(1940.5781421754577+0j),(-5.297570856043057+0j),(0.011843896703414458+0j)
(-5.297570856043057+0j),(-22.522649378870213+0j),(1931.1602801717827+0j),(-5.28590810095736+0j),(0.011662755085697363+0j)
(-5.28590810095736+0j),(-22.071608207082132+0j),(1921.908662131827+0j),(-5.274423888079834+0j),(0.011484212877525657+0j)
(-5.274423888079834+0j),(-21.63062403563056+0j),(1912.8202066058134+0j),(-5.263115651183899+0j),(0.011308236895935408+0j)
(-5.263115651183899+0j),(-21.19944459874675+0j),(1903.8918933009206+0j),(-5.251980856885263+0j),(0.011134794298635953+0j)
(-5.251980856885263+0j),(-20.777824656215316+0j),(1895.1207617675732+0j),(-5.241017004303734+0j),(0.01096385258152921+0j)
(-5.241017004303734+0j),(-20.365525781808433+0j),(1886.5039101160326+0j),(-5.23022162472747+0j),(0.010795379576263642+0j)
(-5.23022162472747+0j),(-19.96231615843898+0j),(1878.0384937625572+0j),(-5.2195922812796445+0j),(0.010629343447825512+0j)
(-5.2195922812796445+0j),(-19.56797037981104+0j),(1869.7217242044203+0j),(-5.209126568587486+0j),(0.010465712692158569+0j)
(-5.209126568587486+0j),(-19.182269258354218+0j),(1861.5508678230876+0j),(-5.1988221124536675+0j),(0.010304456133818363+0j)
(-5.1988221124536675+0j),(-18.80499963923495+0j),(1853.5232447148796+0j),(-5.188676569530019+0j),(0.010145542923648776+0j)
(-5.188676569530019+0j),(-18.43595422024541+0j),(1845.636227548453+0j),(-5.178687626993529+0j),(0.009988942536489631+0j)
(-5.178687626993529+0j),(-18.07493137737711+0j),(1837.8872404484596+0j),(-5.16885300222462+0j),(0.009834624768909173+0j)
(-5.16885300222462+0j),(-17.72173499589265+0j),(1830.2737579047482+0j),(-5.159170442487666+0j),(0.00968255973695431+0j)
(-5.159170442487666+0j),(-17.37617430671591+0j),(1822.793303706498+0j),(-5.149637724613739+0j),(0.009532717873926622+0j)
(-5.149637724613739+0j),(-17.03806372796644+0j),(1815.4434499006832+0j),(-5.140252654685563+0j),(0.009385069928176115+0j)
(-5.140252654685563+0j),(-16.70722271146992+0j),(1808.221815774284+0j),(-5.131013067724648+0j),(0.009239586960914536+0j)
(-5.131013067724648+0j),(-16.383475594082388+0j),(1801.1260668596722+0j),(-5.121916827380602+0j),(0.009096240344046436+0j)
(-5.121916827380602+0j),(-16.066651453670826+0j),(1794.1539139626116+0j),(-5.112961825622595+0j),(0.008955001758007342+0j)
(-5.112961825622595+0j),(-15.756583969598998+0j),(1787.3031122123427+0j),(-5.104145982432966+0j),(0.00881584318962858+0j)
(-5.104145982432966+0j),(-15.453111287571204+0j),(1780.5714601332038+0j),(-5.095467245502961+0j),(0.00867873693000476+0j)
(-5.095467245502961+0j),(-15.156075888692644+0j),(1773.956798737287+0j),(-5.086923589930581+0j),(0.008543655572379905+0j)
(-5.086923589930581+0j),(-14.865324462609179+0j),(1767.4570106376136+0j),(-5.078513017920546+0j),(0.008410572010035366+0j)
(-5.078513017920546+0j),(-14.580707784594336+0j),(1761.0700191813496+0j),(-5.070233558486348+0j),(0.008279459434198166+0j)
(-5.070233558486348+0j),(-14.302080596455237+0j),(1754.7937876025653+0j),(-5.0620832671543985+0j),(0.008150291331949333+0j)
(-5.0620832671543985+0j),(-14.029301491133978+0j),(1748.626318194087+0j),(-5.0540602256702565+0j),(0.008023041484142013+0j)
(-5.0540602256702565+0j),(-13.762232800884892+0j),(1742.5656514979726+0j),(-5.046162541706926+0j),(0.007897683963330238+0j)
(-5.046162541706926+0j),(-13.500740488911905+0j),(1736.6098655141714+0j),(-5.038388348575232+0j),(0.00777419313169414+0j)
(-5.038388348575232+0j),(-13.244694044354558+0j),(1730.757074926936+0j),(-5.03073580493625+0j),(0.007652543638982046+0j)
(-5.03073580493625+0j),(-12.993966380514374+0j),(1725.005430348554+0j),(-5.023203094515803+0j),(0.007532710420447231+0j)
(-5.023203094515803+0j),(-12.748433736217335+0j),(1719.3531175799928+0j),(-5.015788425821008+0j),(0.007414668694794457+0j)
(-5.015788425821008+0j),(-12.507975580211443+0j),(1713.7983568880545+0j),(-5.008490031858884+0j),(0.007298393962124727+0j)
(-5.008490031858884+0j),(-12.272474518501825+0j),(1708.3394022986452+0j),(-5.001306169856996+0j),(0.007183862001888031+0j)
(-5.001306169856996+0j),(-12.041816204528939+0j),(1702.9745409057741+0j),(-4.994235120986163+0j),(0.007071048870832541+0j)
(-4.994235120986163+0j),(-11.815889252098696+0j),(1697.7020921959113+0j),(-4.987275190085203+0j),(0.006959930900960032+0j)
(-4.987275190085203+0j),(-11.5945851509763+0j),(1692.5204073873383+0j),(-4.980424705387725+0j),(0.006850484697477732+0j)
(-4.980424705387725+0j),(-11.377798185058532+0j),(1687.4278687841347+0j),(-4.973682018250967+0j),(0.006742687136758185+0j)
(-4.973682018250967+0j),(-11.165425353041808+0j),(1682.4228891444523+0j),(-4.967045502886676+0j),(0.006636515364291107+0j)
